,Latitude,Longitude,magnitude
0,42.016804165,-87.690708662,1.0
1,41.888165132,-87.622937212,1.0
2,41.888165132,-87.622937212,1.0
3,41.860664155,-87.650847428,1.0
4,41.945466899,-87.663974392,1.0
5,41.756094667,-87.644615424,1.0
6,41.778141727,-87.690930179,1.0
7,41.845059335,-87.732195643,1.0
8,41.73627756,-87.614519556,1.0
9,41.899228723,-87.752030004,1.0
10,41.852541931,-87.727823737,1.0
11,41.792107119,-87.617530185,1.0
12,41.863375747,-87.656457451,1.0
13,41.823125769,-87.602725951,1.0
14,41.884896917,-87.725788643,1.0
15,41.877427291,-87.696946533,1.0
16,41.784142336,-87.672819559,1.0
17,41.906823047,-87.640885421,1.0
18,41.892694268,-87.631154519,1.0
19,41.752864125,-87.584440569,1.0
20,41.913330126,-87.6726429,1.0
21,41.789072518,-87.60496086,1.0
22,41.904442607,-87.661941839,1.0
23,41.841855999,-87.628741678,1.0
24,41.693455051,-87.626442234,1.0
25,41.883500187,-87.627876698,1.0
26,41.733104108,-87.551330517,1.0
27,41.895896023,-87.677913394,1.0
28,41.932294457,-87.685468046,1.0
29,41.882389156,-87.624374606,1.0
30,41.751256776,-87.606792121,1.0
31,41.893346855,-87.623478469,1.0
32,41.897895128,-87.624096605,1.0
33,41.754592961,-87.741528537,1.0
34,41.892507682,-87.626238686,1.0
35,41.870724666,-87.628597294,1.0
36,41.684809877,-87.642147208,1.0
37,41.895748419,-87.623536353,1.0
38,41.762093489,-87.690514815,1.0
39,41.808113645,-87.70460216,1.0
40,41.903343349,-87.667801443,1.0
41,41.758536614,-87.586130225,1.0
42,41.883500187,-87.627876698,54.0
43,41.953443342,-87.744957048,36.0
44,41.886716525,-87.653831364,63.0
45,41.947296152,-87.65119238,65.0
46,41.722362598,-87.58382047,36.0
47,41.884497529,-87.625838595,53.0
48,41.895140898,-87.624255632,41.0
49,41.829186934,-87.735437286,65.0
50,41.851949553,-87.618995915,55.0
51,41.809347098,-87.618919216,59.0
52,41.880555964,-87.64192187,34.0
53,41.754387396,-87.555554394,60.0
54,41.939926293,-87.732952087,36.0
55,41.884051362,-87.72365569,44.0
56,41.777838795,-87.734946581,45.0
57,41.812244589,-87.604430616,47.0
58,41.779822481,-87.601655835,44.0
59,41.909664252,-87.742728815,37.0
60,41.96891909,-87.719493509,45.0
61,41.834042232,-87.674368991,45.0
62,41.894167504,-87.621724757,45.0
63,41.892569818,-87.62208039,14.0
64,41.896010965,-87.624279065,41.0
65,41.73516861,-87.703313645,52.0
66,41.880483386,-87.62773362,20.0
67,41.931598937,-87.662318634,29.0
68,41.930896385,-87.702490116,36.0
69,41.836428389,-87.72433908,34.0
70,41.975151721,-87.698898226,41.0
71,41.800725062,-87.6538274,42.0
72,41.895896023,-87.677913394,15.0
73,41.925684458,-87.773838171,26.0
74,41.868541914,-87.639235361,15.0
75,41.764817814,-87.595822246,44.0
76,41.887129616,-87.754255061,43.0
77,41.907127935,-87.634589186,21.0
78,41.986066128,-87.728520584,45.0
79,41.746229065,-87.552790944,39.0
80,41.895565667,-87.636261556,49.0
81,41.90971226,-87.73926766,47.0
82,41.690254625,-87.621021983,42.0
83,41.889889331,-87.752970416,32.0
84,41.736269116,-87.627768243,28.0
85,41.867234401,-87.641301791,60.0
86,41.771785861,-87.641756824,37.0
87,41.782987366,-87.615692028,37.0
88,42.007229555,-87.661447148,10.0
89,41.884484068,-87.623213022,37.0
90,41.899490636,-87.626947718,58.0
91,41.88171846,-87.627760426,35.0
92,41.826480161,-87.60632748,31.0
93,41.910676312,-87.649187069,31.0
94,41.721810028,-87.576555727,24.0
95,41.885481891,-87.627935689,14.0
96,42.019381415,-87.672425761,14.0
97,41.964296453,-87.663766303,15.0
98,41.831660713,-87.685067474,22.0
99,41.878255692,-87.625606346,35.0
100,41.896772914,-87.621464432,29.0
101,41.8020092,-87.622063199,42.0
102,41.895773204,-87.621776719,46.0
103,41.926287021,-87.785547998,49.0
104,41.947584242,-87.698057822,41.0
105,41.66833422,-87.628364125,38.0
106,41.761396234,-87.557976827,47.0
107,41.788339891,-87.740514226,38.0
108,41.759292223,-87.647901899,51.0
109,41.878525407,-87.750803949,50.0
110,41.657966723,-87.603406393,61.0
111,41.904936703,-87.681009546,54.0
112,41.796271512,-87.770648751,56.0
